tconst,primaryTitle,category,averageRating,employee,runtimeMinutes,ProductionCompanies,profit_ratio
tt0454919,Pulse,writer,5.0,Wes Craven,90,Dimension Films,0
tt0311113,Master and Commander: The Far Side of the World,actor,8.0,Russell Crowe,138,"Universal Pictures, Twentieth Century Fox Film Corporation, Samuel Goldwyn Films, Miramax",0
tt0381849,3:10 to Yuma,actor,8.0,Russell Crowe,122,"Tree Line Films, Lionsgate, Relativity Media, Yuma",0
tt0401445,A Good Year,actor,7.0,Russell Crowe,117,"Fox 2000 Pictures, Scott Free Productions",0
tt0352248,Cinderella Man,actor,8.0,Russell Crowe,144,"Miramax Films, Imagine Entertainment, Universal Pictures, Parkway Pictures (I), Touchstone Pictures",0
tt0268978,A Beautiful Mind,actor,8.0,Russell Crowe,135,"Imagine Entertainment, DreamWorks SKG, Universal Pictures",4
tt0259711,Vanilla Sky,actor,7.0,Tom Cruise,136,"Paramount Pictures, Cruise-Wagner Productions, Vinyl Films",1
tt0369339,Collateral,actor,8.0,Tom Cruise,120,"Paramount Pictures, DreamWorks SKG, Parkes/MacDonald Productions, Edge City",2
tt0181689,Minority Report,actor,8.0,Tom Cruise,145,"DreamWorks SKG, Cruise/Wagner Productions, Amblin Entertainment, Twentieth Century Fox Film Corporation, Blue Tulip Productions, Ronald Shusett/Gary Goldman, Digital Image Associates",2
tt0407304,War of the Worlds,actor,7.0,Tom Cruise,117,"Paramount Pictures, DreamWorks SKG, Cruise/Wagner Productions, Amblin Entertainment",3
tt0322330,Freaky Friday,actress,6.0,Jamie Lee Curtis,97,"Walt Disney Pictures, Gunn Films, Casual Friday Productions",3
tt0388419,Christmas with the Kranks,actress,6.0,Jamie Lee Curtis,99,"Columbia Pictures, 1492 Pictures, Revolution Studios",-1
tt0220506,Halloween: Resurrection,actress,4.0,Jamie Lee Curtis,90,Dimension Films,1
tt0417001,Must Love Dogs,actor,6.0,John Cusack,98,"Team Todd, Warner Bros., Ubu Productions",0
tt0309698,Identity,actor,7.0,John Cusack,90,"Konrad Pictures, Columbia Pictures Corporation",2
tt0313542,Runaway Jury,actor,7.0,John Cusack,127,"Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures",0
tt0450385,1408,actor,7.0,John Cusack,104,"The Weinstein Company, Di Bonaventura Pictures, Dimension Films",2
tt0240890,Serendipity,actor,7.0,John Cusack,90,"Miramax Films, Tapestry Films, Simon Fields Productions",1
tt0280760,Igby Goes Down,actress,7.0,Claire Danes,98,United Artists,0
tt0338427,Shopgirl,actress,6.0,Claire Danes,106,"Epsilon Motion Pictures, Hyde Park Films, Shopgirl, Touchstone Pictures",0
tt0243585,Stuart Little 2,actress,6.0,Geena Davis,77,"Columbia Pictures, Sony Pictures Entertainment",0
tt0290002,Meet the Fockers,actor,6.0,Robert De Niro,115,"DreamWorks SKG, Universal Pictures, Everyman Pictures, Tribeca Productions",5
tt0382077,Hide and Seek,actor,6.0,Robert De Niro,101,"Twentieth Century Fox Film Corporation, Fox 2000 Pictures, Josephson Entertainment, MBC Beteiligungs Filmproduktion",3
tt0307453,Shark Tale,actor,6.0,Robert De Niro,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",3
tt0269095,City by the Sea,actor,6.0,Robert De Niro,108,"Warner Bros. Pictures, Epsilon Motion Pictures, Franchise Pictures, Brad Grey Pictures, Sea Breeze Productions Inc.",0
tt0343737,The Good Shepherd,actor,7.0,Robert De Niro,167,"Universal Pictures, American Zoetrope, Morgan Creek Productions",0
tt0343737,The Good Shepherd,producer,7.0,Robert De Niro,167,"Universal Pictures, American Zoetrope, Morgan Creek Productions",0
tt0285823,Once Upon a Time in Mexico,actor,6.0,Johnny Depp,102,"Columbia Pictures Corporation, Dimension Films, Troublemaker Studios",2
tt0221027,Blow,actor,8.0,Johnny Depp,124,New Line Cinema,0
