tconst,primaryTitle,category,averageRating,employee,runtimeMinutes,ProductionCompanies,profit_ratio
tt0133152,Planet of the Apes,writer,6.0,Lawrence Konner,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The",2
tt0133152,Planet of the Apes,writer,6.0,Mark Rosenthal,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The",2
tt0133152,Planet of the Apes,writer,6.0,Pierre Boulle,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The",2
tt0133152,Planet of the Apes,writer,6.0,William Broyles Jr.,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The",2
tt0133240,Treasure Planet,actor,7.0,Austin Majors,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,actor,7.0,Corey Burton,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,actor,7.0,Dane A. Davis,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,actor,7.0,Joseph Gordon-Levitt,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,actor,7.0,Martin Short,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,actor,7.0,Michael McShane,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,actor,7.0,Patrick McGoohan,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,actor,7.0,Roscoe Lee Browne,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,actor,7.0,Tony Jay,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,actress,7.0,Emma Thompson,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,casting_director,7.0,Mary Hidalgo,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,casting_director,7.0,Ruth Lambert,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,composer,7.0,James Newton Howard,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,director,7.0,John Musker,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,director,7.0,Ron Clements,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,editor,7.0,Michael Kelly,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,producer,7.0,John Musker,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,producer,7.0,Ron Clements,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,producer,7.0,Roy Conli,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,production_designer,7.0,Frank Nissen,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,production_designer,7.0,Steven Olds,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,writer,7.0,John Musker,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,writer,7.0,Rob Edwards,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,writer,7.0,Robert Louis Stevenson,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0133240,Treasure Planet,writer,7.0,Ron Clements,95,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0138524,Intolerable Cruelty,actor,6.0,Billy Bob Thornton,100,"Imagine Entertainment, Universal Pictures, Mike Zoss Productions, Alphaville Productions",0
